2025-09-10 21:15:18,602 - INFO - Parâmetros: LR=0.01, Dropout=0.3, Batch=8, Optimizer=adamw, Hidden=2048, Aug=light
2025-09-10 21:15:18,602 - INFO - Usando dispositivo: cuda
2025-09-10 21:15:18,696 - INFO - Usando apenas 30.0% do dataset total.
2025-09-10 21:15:18,706 - INFO - Tamanho do dataset após subamostragem: 10479 imagens.
2025-09-10 21:15:18,710 - INFO - Dataset dividido em: 6287 treino, 2096 validação, 2096 teste.
2025-09-10 21:16:00,768 - INFO - Epoch 1/50 -> Loss: 10.9623, Val F1: 0.1290, Val Acc: 0.2004
2025-09-10 21:16:00,768 - INFO - 🎉 Novo melhor F1-Score de validação: 0.1290
2025-09-10 21:16:41,933 - INFO - Epoch 2/50 -> Loss: 1.7825, Val F1: 0.0546, Val Acc: 0.1579
2025-09-10 21:17:22,895 - INFO - Epoch 3/50 -> Loss: 2.0575, Val F1: 0.0584, Val Acc: 0.1708
2025-09-10 21:18:03,900 - INFO - Epoch 4/50 -> Loss: 1.6239, Val F1: 0.0588, Val Acc: 0.1722
2025-09-10 21:18:44,882 - INFO - Epoch 5/50 -> Loss: 2.0136, Val F1: 0.0546, Val Acc: 0.1579
2025-09-10 21:19:25,913 - INFO - Epoch 6/50 -> Loss: 6.1942, Val F1: 0.0570, Val Acc: 0.1589
2025-09-10 21:20:06,892 - INFO - Epoch 7/50 -> Loss: 1.6983, Val F1: 0.0546, Val Acc: 0.1579
2025-09-10 21:20:47,817 - INFO - Epoch 8/50 -> Loss: 3.0237, Val F1: 0.0546, Val Acc: 0.1579
2025-09-10 21:21:28,802 - INFO - Epoch 9/50 -> Loss: 1.5984, Val F1: 0.0584, Val Acc: 0.1708
2025-09-10 21:22:09,710 - INFO - Epoch 10/50 -> Loss: 2.5406, Val F1: 0.0585, Val Acc: 0.1598
2025-09-10 21:22:50,625 - INFO - Epoch 11/50 -> Loss: 1.7470, Val F1: 0.0625, Val Acc: 0.1741
2025-09-10 21:23:31,543 - INFO - Epoch 12/50 -> Loss: 1.8185, Val F1: 0.0594, Val Acc: 0.1603
2025-09-10 21:24:12,471 - INFO - Epoch 13/50 -> Loss: 1.6076, Val F1: 0.0638, Val Acc: 0.1627
2025-09-10 21:24:53,385 - INFO - Epoch 14/50 -> Loss: 1.5939, Val F1: 0.0555, Val Acc: 0.1584
2025-09-10 21:25:34,291 - INFO - Epoch 15/50 -> Loss: 2.2539, Val F1: 0.0546, Val Acc: 0.1579
2025-09-10 21:26:15,199 - INFO - Epoch 16/50 -> Loss: 1.5970, Val F1: 0.0588, Val Acc: 0.1722
2025-09-10 21:26:56,121 - INFO - Epoch 17/50 -> Loss: 1.6121, Val F1: 0.0546, Val Acc: 0.1579
2025-09-10 21:27:37,032 - INFO - Epoch 18/50 -> Loss: 1.5906, Val F1: 0.0546, Val Acc: 0.1579
2025-09-10 21:28:17,957 - INFO - Epoch 19/50 -> Loss: 3.1910, Val F1: 0.0584, Val Acc: 0.1708
2025-09-10 21:28:58,876 - INFO - Epoch 20/50 -> Loss: 1.7529, Val F1: 0.0555, Val Acc: 0.1584
2025-09-10 21:29:39,815 - INFO - Epoch 21/50 -> Loss: 1.6069, Val F1: 0.0555, Val Acc: 0.1584
2025-09-10 21:30:20,817 - INFO - Epoch 22/50 -> Loss: 1.5959, Val F1: 0.0555, Val Acc: 0.1584
2025-09-10 21:31:01,701 - INFO - Epoch 23/50 -> Loss: 1.5952, Val F1: 0.0597, Val Acc: 0.1727
